,Posição,Escola,Inep,Cidade,Estado,Dp_Adm,Tipo_dp,Qtd_alunos,Linguagens_Codigos,Ciencias_Humanas,Ciencias_Natureza,Matematica,Redacao,Media
135,136,UNIVERSIDADE TECNOLOGICA FEDERAL DO PR,41128249,Curitiba,Paraná,Federal,Urbana,72,"601,93","627,51","606,56","745,13","735,83","645,28"
136,137,IMACULADA INSTITUTO EDUCACIONAL,35112773,Campinas,São Paulo,Privada,Urbana,60,"603,52","634,98","608,75","733,69","816,67","645,23"
137,138,ESCOLA CRESCIMENTO,21195534,São Luís,Maranhão,Privada,Urbana,68,"609,99","638,55","592,66","739,72","828,82","645,23"
138,139,DRUMMOND COLEGIO,35141392,Ourinhos,São Paulo,Privada,Urbana,16,"600,84","626,26","631,58","721,28","790,00","644,99"
139,140,LEONARDO DA VINCI COLEGIO DE ENSINO FUNDAMENTAL E MEDIO,35136050,Jundiaí,São Paulo,Privada,Urbana,66,"599,96","628,18","618,27","733,09","865,15","644,87"
140,141,PPE - PRINA PITT ESCOLA,51067471,Sinop,Mato Grosso,Privada,Urbana,27,"593,34","643,43","598,64","743,59","865,19","644,75"
141,142,INSTITUTO GAYLUSSAC - ENS FUNDAMENTAL E MEDIO,33057206,Niterói,Rio de Janeiro,Privada,Urbana,81,"611,17","637,10","589,61","740,69","897,28","644,64"
142,143,COLEGIO SANTA CATARINA,31074373,Juiz de Fora,Minas Gerais,Privada,Urbana,123,"606,09","634,70","614,73","722,81","885,53","644,58"
143,144,COL ANDREWS,33063311,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,22,"618,02","637,43","582,32","739,45","865,45","644,30"
144,145,COLEGIO LEONARDO DA VINCI- BETA,43172440,Porto Alegre,Rio Grande do Sul,Privada,Urbana,26,"611,06","627,49","600,91","737,75","825,38","644,30"
145,146,PRUDENTINA ESCOLA DE EDUCACAO BASICA,35121381,Presidente Prudente,São Paulo,Privada,Urbana,22,"607,32","627,40","608,07","734,30","773,64","644,27"
146,147,ESCOLA SESI RINALDO CAMPOS SOARES,31357081,Ipatinga,Minas Gerais,Privada,Urbana,23,"600,06","637,40","615,53","722,92","916,52","643,98"
